130.64,541.88,-0.374001
130.643,541.775,-0.374739
130.647,541.654,-0.376201
130.65,541.551,-0.377447
130.655,541.393,-0.395092
130.659,541.284,-0.39133
130.663,541.162,-0.383177
130.667,541.053,-0.380642
130.675,540.836,-0.384427
130.68,540.681,-0.396022
130.686,540.488,-0.404567
130.696,540.211,-0.408196
130.706,539.892,-0.408381
130.717,539.559,-0.39965
130.729,539.22,-0.392326
130.74,538.886,-0.390345
130.751,538.561,-0.390452
130.762,538.241,-0.390223
130.772,537.932,-0.389773
130.784,537.571,-0.389471
130.794,537.25,-0.389713
130.805,536.935,-0.390418
130.816,536.615,-0.390752
130.826,536.298,-0.390288
130.836,535.989,-0.389619
130.846,535.67,-0.388856
130.856,535.36,-0.388117
130.866,535.051,-0.387817
130.876,534.746,-0.387846
130.886,534.43,-0.392454
130.896,534.104,-0.401821
130.909,533.714,-0.398594
130.918,533.412,-0.39215
130.931,533.022,-0.387273
130.943,532.653,-0.386053
130.954,532.287,-0.385875
130.966,531.924,-0.385749
130.977,531.559,-0.385347
130.989,531.171,-0.385378
131.001,530.795,-0.385682
131.012,530.439,-0.385377
131.024,530.087,-0.384889
131.033,529.781,-0.384446
131.045,529.407,-0.383731
131.055,529.067,-0.382905
131.065,528.756,-0.382317
131.074,528.393,-0.382159
131.079,528.05,-0.382436
131.085,527.698,-0.382236
131.093,527.377,-0.38169
131.101,527.035,-0.381144
131.11,526.634,-0.388827
131.119,526.221,-0.397548
131.127,525.829,-0.395747
131.135,525.438,-0.386022
131.145,524.994,-0.378572
131.155,524.534,-0.376065
131.164,524.08,-0.375487
131.17,523.637,-0.374352
131.17,523.202,-0.373029
131.169,522.782,-0.372055
131.171,522.424,-0.371652
131.174,521.918,-0.371309
131.177,521.524,-0.370612
131.179,521.087,-0.369624
131.181,520.656,-0.368506
131.183,520.299,-0.367737
131.185,519.941,-0.367055
131.186,519.545,-0.36645
131.188,519.114,-0.370169
131.191,518.626,-0.380502
131.193,518.1,-0.383524
131.196,517.596,-0.373323
131.198,517.096,-0.364011
131.201,516.55,-0.360122
131.203,516.083,-0.359737
131.206,515.524,-0.35941
131.208,515.029,-0.358363
131.21,514.542,-0.356809
131.213,514.023,-0.355504
131.214,513.664,-0.354911
131.217,513.156,-0.35426
131.219,512.662,-0.355391
131.221,512.126,-0.363236
131.224,511.526,-0.366835
131.226,511.025,-0.360248
131.228,510.472,-0.351579
131.23,509.867,-0.347008
131.233,509.305,-0.345998
131.235,508.719,-0.345303
131.237,508.16,-0.344074
131.239,507.596,-0.34282
131.241,507.109,-0.342377
131.243,506.553,-0.342484
131.246,506.002,-0.343075
131.248,505.431,-0.343614
131.251,504.913,-0.343809
131.253,504.436,-0.343683
131.255,503.868,-0.343505
131.257,503.355,-0.343561
131.26,502.832,-0.343536
131.262,502.317,-0.343609
131.265,501.741,-0.343572
131.267,501.293,-0.343391
131.269,500.835,-0.343094
131.271,500.333,-0.342894
131.274,499.798,-0.342796
131.276,499.255,-0.342643
131.278,498.813,-0.342509
131.28,498.326,-0.342238
131.281,497.811,-0.341772
131.276,497.323,-0.341217
131.261,496.865,-0.340527
131.233,496.391,-0.339979
131.192,495.93,-0.340246
131.142,495.462,-0.340722
131.092,494.994,-0.340873
131.051,494.589,-0.340619
131,494.13,-0.339781
130.936,493.662,-0.338693
130.87,493.272,-0.337652
130.788,492.858,-0.336753
130.681,492.412,-0.336953
130.563,491.981,-0.337999
130.446,491.574,-0.339199
130.333,491.18,-0.340532
130.215,490.762,-0.341806
130.102,490.352,-0.342905
129.988,489.943,-0.344033
129.874,489.537,-0.345264
129.759,489.13,-0.346726
129.644,488.726,-0.348231
129.532,488.331,-0.349636
129.422,487.94,-0.350959
129.313,487.554,-0.352096
129.203,487.165,-0.353097
129.109,486.829,-0.353853
128.998,486.423,-0.354733
128.915,486.091,-0.355665
128.831,485.718,-0.356595
128.752,485.311,-0.357103
128.694,484.945,-0.357549
128.647,484.573,-0.358866
128.608,484.203,-0.360188
128.566,483.789,-0.361287
128.529,483.426,-0.362215
128.489,483.058,-0.36325
128.448,482.684,-0.364322
128.419,482.422,-0.365063
128.381,482.054,-0.366123
128.342,481.682,-0.367416
128.304,481.303,-0.368882
128.276,480.997,-0.369956
128.249,480.596,-0.370741
128.235,480.276,-0.370875
128.23,479.905,-0.37168
128.232,479.579,-0.372837
128.236,479.239,-0.373831
128.238,478.906,-0.374526
128.238,478.593,-0.375124
128.236,478.274,-0.375803
128.236,477.921,-0.376556
128.237,477.567,-0.37733
128.239,477.218,-0.378063
128.24,476.883,-0.378563
128.241,476.595,-0.378825
128.241,476.312,-0.379044
128.242,475.941,-0.379405
128.243,475.65,-0.379777
128.244,475.313,-0.38035
128.245,474.965,-0.381104
128.245,474.675,-0.381875
128.246,474.361,-0.382745
128.247,474.035,-0.383451
128.247,473.72,-0.383933
128.248,473.401,-0.38437
128.249,473.085,-0.384765
128.25,472.779,-0.385066
128.25,472.47,-0.38536
128.251,472.164,-0.385661
128.251,471.921,-0.376741
128.251,471.756,-0.357317
